21 21
58.022	64.575	71.308	77.749	82.720	87.307	91.914	94.752	97.432	99.263	99.135	99.293	97.081	95.396	92.262	87.408	82.901	77.646	71.310	65.186	58.537
64.630	72.076	79.241	85.942	91.526	96.375	101.049	104.538	107.469	108.820	109.490	108.735	107.445	105.053	101.307	96.264	91.113	85.408	79.391	72.137	64.735
71.386	79.227	86.092	93.132	99.509	105.560	109.967	113.706	117.173	118.515	119.536	118.484	116.736	114.386	109.980	105.005	99.372	93.508	86.655	78.833	71.299
77.469	85.463	93.511	100.049	107.014	113.578	118.997	122.922	126.263	128.885	129.717	128.302	126.935	123.672	118.981	113.968	107.736	100.720	92.807	85.132	77.900
82.593	91.676	99.339	106.875	114.321	121.470	127.105	132.022	136.713	138.854	139.579	138.423	136.132	132.267	126.943	120.934	114.910	106.902	99.151	91.050	83.166
87.391	96.819	104.754	113.315	121.337	128.818	135.690	140.817	145.837	148.651	149.247	148.695	145.866	141.076	135.797	129.181	121.759	113.707	105.166	96.592	88.024
91.545	101.413	109.857	119.327	127.632	135.625	142.453	149.648	154.739	158.737	159.126	158.175	154.890	149.596	142.920	135.795	126.994	119.223	110.362	101.028	92.190
95.172	104.824	114.116	123.084	132.019	140.890	149.188	157.140	163.323	167.639	169.629	167.750	163.132	157.475	149.384	140.933	132.282	123.285	114.291	104.343	94.981
97.837	107.235	116.608	126.513	135.769	145.479	154.427	163.352	171.577	176.784	179.194	177.215	171.083	163.481	155.084	146.074	136.223	127.089	116.893	107.179	97.191
98.536	108.625	119.294	128.609	138.398	148.475	157.871	167.833	177.576	185.008	189.287	185.424	177.517	167.796	157.997	148.091	139.035	128.841	118.570	108.968	99.310
99.160	109.009	119.350	129.710	139.919	149.796	159.521	169.272	179.637	189.036	199.638	189.187	179.454	169.687	159.189	149.931	139.790	129.727	119.990	109.940	99.091
98.969	108.672	119.128	129.276	138.648	148.352	158.735	167.770	176.957	185.130	189.647	185.747	177.029	167.865	158.671	148.081	138.639	129.020	118.859	109.062	98.670
97.350	106.978	116.564	126.578	136.375	145.522	154.675	163.447	171.273	177.389	179.169	176.894	171.067	163.287	154.473	145.802	136.150	126.792	116.861	106.818	97.588
94.801	104.144	114.177	123.279	132.738	141.548	149.889	156.690	163.046	167.863	169.669	167.854	163.691	157.458	149.509	141.462	132.372	123.355	114.322	104.777	94.846
91.945	100.638	110.084	118.828	127.865	135.829	142.801	149.401	155.019	157.807	159.546	158.400	154.549	149.770	142.530	135.942	127.689	118.532	110.384	100.652	91.887
88.156	96.195	105.074	113.118	120.935	128.981	135.261	141.174	145.943	148.505	149.774	148.282	145.796	141.002	135.851	128.814	121.494	113.853	105.303	96.773	87.261
82.755	91.401	99.611	107.754	114.500	121.619	127.587	132.437	136.041	138.355	139.006	138.439	136.431	132.667	127.636	121.069	114.991	107.284	99.998	91.833	82.827
77.296	85.497	93.309	100.129	107.281	113.340	118.687	123.060	126.975	129.237	129.935	128.614	127.187	122.922	118.578	113.132	107.757	100.373	93.643	85.010	77.803
71.545	79.022	86.006	92.980	99.854	105.409	109.964	114.460	116.726	119.044	119.372	118.743	116.814	114.198	110.303	105.529	99.626	93.466	86.581	78.944	70.982
64.662	72.449	79.390	85.015	91.427	96.533	101.464	104.340	107.264	108.771	109.124	108.866	107.592	104.839	101.134	96.673	91.004	85.836	79.535	72.113	64.729
58.395	64.743	71.112	77.652	82.424	88.141	92.139	95.508	97.672	98.949	99.183	99.271	97.048	94.812	91.376	87.547	82.601	77.930	71.645	64.759	58.214
